title,price,description,images,location
Rent a Rent Tesla Optimus Robot for your Party or Event!,1000,"Have a look at my Rent Tesla Optimus Robot for your Party or Event! for rent! [BREAK] I am buying a human robot and rent it out for parties. I am on the list and will buy it when it comes out.   It can serve drinks, talk, and impress people. $1000 for up to 5 hours.   Please message me and tell me of your interest, thank you. ",['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/544a1f38-4f6c-4c9f-302b-8b2896422400.jpg'],95123
Rent a Set of Golf clubs,15,"I'm renting my Set of Golf clubs! Check it out! [BREAK] Full set of Golf clubs:  Driver 3 wood 5 wood  Hybrid club Irons 3, 5-9 Pitching wedge Sand wedge Putter ","['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/7c58e84b-d5f5-4f26-d026-6c4973cc2f00.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/0116b93b-15f4-4d13-a4d3-61a4f2df3600.jpg']",85226
Rent a Wheelbarrow,5,Check out my Wheelbarrow for rent! [BREAK] Durable wheelbarrow good for landscaping projects. ,['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/bf1adb3e-d26a-4f8a-f205-8dab8fa84a00.jpg'],84005
Rent a Jig Saw,10,Renting out my Jig Saw. Message me for details! [BREAK] High quality Bosch jig saw for carpentry projects. ,['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/cbeb6d83-8774-47c1-c76e-792c68bd0d00.jpg'],84005
Rent a Orbital Sander,5,Looking to rent my Orbital Sander. Let me know if you're interested! [BREAK] High quality orbital sander for carpentry projects. ,['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/c8169a63-f539-4d19-c238-2a7ff980fd00.jpg'],84005
Rent a Miter Saw,10,Renting out my Miter Saw. Message me for details! [BREAK] 10” miter saw with slide. Good for cuts up to 12” long. Adjustable bevel for angled chop cuts and angles cross cuts. ,"['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/22a0849c-1ce1-4f94-f5bc-2c0fc2dd7700.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/fb695764-bfc4-4023-dc8d-6674c2ee4d00.jpg']",84005
Rent a Shop Vacuum,5,Looking to rent my Shop Vacuum. Let me know if you're interested! [BREAK] Dewalt shop vac. 5 gallon tank. Lots of accessories. ,['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/9a716392-c700-426d-337f-e9ae45d32c00.jpg'],84005
Rent a Battery Powered Lawn Mower,15,Check out my Battery Powered Lawn Mower for rent! [BREAK] RYOBI whisper series battery powered lawn mower. I’ve got a 40V battery that lasts about 2 hours and two 20V batteries that last close to 1.5 hours each.   Comes with bag or plug if you want to mulch.   Add the blower and/or trimmer for $5 each. ,"['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/f6b19ced-21d8-40d3-fc41-0d1064a79800.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/1ddcd613-0b41-4da8-cdad-35aef5c3b900.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/9c46aeff-d116-4fd5-354a-b62375f93500.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/61f1c558-01ee-40bf-1184-4df7c482fe00.jpg']",84005
Rent a Brad Nailers and Stapler,5,"Have a look at my Brad Nailers and Stapler for rent! [BREAK] 16 gauge nailer, 18 gauge brad nailer, and 18 gauge stapler for rent. $5/day each.   Add the compressor for $10/day. ","['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/fb5183c3-e987-4347-929e-99fc70461f00.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/65ccf6a9-fc9d-4a87-efcd-635a53529a00.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/c39e3203-8fc8-42e8-35df-d8db92d5e900.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/77118182-2fb5-4775-c64a-3159db493000.jpg']",84005
Rent a Air Compressor,10,"Have a look at my Air Compressor for rent! [BREAK] 6 gallon pancake air compressor. Great for home projects, filling tires, etc.   Add one of the nailers or stapler for $5/day as well! ","['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/a98335af-5e85-4887-ca6d-108174e8dd00.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/21b1c501-6c07-4070-8c4c-73f6398e5800.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/d8c6ecf8-788b-471e-25b8-814f294e8000.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/27589dae-bf16-4c38-60aa-68673ab71700.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/4215efa8-948f-4126-7949-32bfc1ea1300.jpg']",84005
"Rent a DuroMax Tri-Fuel Generator 13,000 peak watts",30,"I'm renting my DuroMax Tri-Fuel Generator 13,000 peak watts! Check it out! [BREAK] Great for camping, remote work, construction, blow ups, or even whole-home backup power!  Run in gasoline, propane, or natural gas.   Easy button start ignition. ","['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/7704dcc4-d974-4dd0-4b6d-56168871fd00.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/0b380485-6ff8-4c89-413e-002f91d37e00.jpg']",84005
Rent a Golf cart rentals!,50,"I'm renting my Golf cart rentals!! Check it out! [BREAK] Golf cart Rentals!  2, 4 and 6-Seaters  Gas or Electric Weekly and Monthly rentals Free local delivery and pick up.  Conveniently located near: The Villages WEC On Top of The World Downtown  Ocala   Call for pricing and availability  352 - 57two-8nine26   Email: RealDealGolfCarts@gmail.com",['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-04-28/images/8f9c7561-71e1-495e-455b-eef47dd40500.jpg'],34480
